,Reach_Name,SITE,Event_Date,REP,PU_Gap_Code,COUNT
1,kasky1025,1025,7/11/2016,NA,kasky1025,255
30,kasky1025,1025,7/12/2017,NA,kasky1025,254
56,kasky1038,1038,8/1/2016,NA,kasky1038,271
97,kasky1065,1065,6/22/2017,NA,kasky1065,323
116,kasky1128,1128,6/11/2015,NA,kasky1128,292
147,kasky1168,1168,6/11/2014,NA,kasky1168,259
172,kasky1218,1218,6/16/2016,NA,kasky1218,308
220,kasky1225,1225,8/2/2016,NA,kasky1225,101
247,kasky1237,1237,7/11/2016,NA,kasky1237,323
288,kasky1272,1272,6/23/2015,NA,kasky1272,262
319,kasky1311,1311,7/6/2015,NA,kasky1311,245
357,kasky1328,1328,8/2/2016,NA,kasky1328,97
376,kasky1338,1338,6/16/2016,NA,kasky1338,248
413,kasky1346,1346,6/14/2016,NA,kasky1346,262
443,kasky1392,1392,7/18/2016,NA,kasky1392,252
477,kasky1424,1424,7/6/2015,NA,kasky1424,274
515,kasky1505,1505,6/19/2017,NA,kasky1505,287
551,kasky1546,1546,6/19/2017,NA,kasky1546,272
591,kasky157,157,7/5/2016,NA,kasky157,435
637,kasky1609,1609,7/13/2016,NA,kasky1609,321
677,kasky161,161,7/5/2016,NA,kasky161,261
716,kasky1614,1614,6/12/2017,NA,kasky1614,287
737,kasky1633,1633,7/16/2015,NA,kasky1633,361
769,kasky1668,1668,7/13/2016,NA,kasky1668,286
808,kasky173,173,6/2/2017,NA,kasky173,
850,kasky1747,1747,6/20/2017,NA,kasky1747,368
898,kasky1785,1785,6/26/2017,NA,kasky1785,295
947,kasky1799,1799,6/21/2016,NA,kasky1799,244
983,kasky1801,1801,6/16/2017,NA,kasky1801,350
1031,kasky1833,1833,6/20/2017,NA,kasky1833,371
1077,kasky1881,1881,6/20/2017,NA,kasky1881,282
1115,kasky1922,1922,6/26/2017,NA,kasky1922,345
1148,kasky1945,1945,7/28/2016,NA,kasky1945,379
1206,kasky2095,2095,6/30/2016,NA,kasky2095,403
1256,kasky2115,2115,6/21/2017,NA,kasky2115,310
1311,kasky2117,2117,6/30/2016,NA,kasky2117,293
1343,kasky2153,2153,6/30/2016,NA,kasky2153,260
1374,kasky2188,2188,8/4/2016,NA,kasky2188,
1410,kasky2219,2219,8/4/2016,NA,kasky2219,251
1456,kasky2219,2219,6/22/2017,NA,kasky2219,327
1501,kasky2232,2232,7/1/2013,NA,kasky2232,106
1535,kasky2240,2240,7/12/2016,NA,kasky2240,270
1576,kasky2299,2299,6/15/2016,NA,kasky2299,332
1608,kasky2314,2314,7/29/2015,NA,kasky2314,295
1645,kasky2349,2349,7/22/2013,NA,kasky2349,358
1675,kasky2353A,2353A,6/27/2016,NA,kasky2353,262
1712,kasky2552,2552,7/29/2015,NA,kasky2552,247
1744,kasky2636,2636,6/29/2016,NA,kasky2636,254
1787,kasky2745,2745,7/25/2017,NA,kasky2745,315
1815,kasky2773,2773,7/5/2017,NA,kasky2773,232
1865,kasky2781,2781,7/30/2015,NA,kasky2781,251
1902,kasky288,288,6/8/2017,NA,kasky288,302
1948,kasky2911,2911,8/2/2017,NA,kasky2911,240
1986,kasky3461,3461,6/28/2016,NA,kasky3461,310
2023,kasky3496,3496,7/23/2013,NA,kasky3496,295
2042,kasky3565,3565,7/29/2015,NA,kasky3565,295
2075,kasky3584,3584,6/23/2016,NA,kasky3584,341
2114,kasky3593,3593,6/22/2016,NA,kasky3593,265
2154,kasky3841,3841,7/29/2015,NA,kasky3841,264
2188,kasky4092,4092,6/22/2016,1,kasky4092,266
2217,kasky4092,4092,6/22/2016,2,kasky4092,267
2253,kasky421,421,6/8/2017,NA,kasky421,304
2308,kasky44,44,6/24/2015,NA,kasky44,285
2342,kasky4479,4479,7/1/2014,NA,kasky4479,367
2395,kasky4504,4504,6/22/2016,NA,kasky4504,262
2436,kasky4532,4532,7/21/2015,NA,kasky4532,265
2462,kasky5001,5001,7/21/2015,NA,kasky5001,341
2518,kasky5128,5128,7/22/2015,NA,kasky5128,250
2552,kasky517,517,6/29/2017,NA,kasky517,294
2595,kasky5234,5234,8/1/2017,NA,kasky5234,239
2632,kasky5667,5667,7/22/2015,NA,kasky5667,297
2673,kasky5764,5764,7/22/2015,NA,kasky5764,242
2703,kasky5770,5770,7/22/2015,NA,kasky5770,282
2738,kasky661,661,7/5/2017,NA,kasky661,245
2744,kasky745,745,6/13/2016,NA,kasky745,279
2784,kasky761,761,7/26/2016,NA,kasky761,349
2844,kasky761,761,7/3/2017,NA,kasky761,249
2865,kasky786,786,7/26/2016,NA,kasky786,247
2911,kasky835,835,8/3/2017,NA,kasky835,246
2958,kasky884,884,6/6/2017,NA,kasky884,261
3000,kasky92,92,6/29/2017,NA,kasky92,312
3055,kasky939,939,8/1/2016,NA,kasky939,305
3076,kasky939,939,7/10/2017,NA,kasky939,256
3122,kasky948,948,6/26/2017,NA,kasky948,300
3157,kasky950,950,6/4/2015,NA,kasky950,331
3207,kasky957,957,7/19/2016,NA,kasky957,249
3235,kasky957,957,7/10/2017,NA,kasky957,364
3305,kasky969,969,6/19/2017,NA,kasky969,338
3353,kasky992,992,6/28/2016,NA,kasky992,248
3384,F15,F15,8/26/2015,NA,kasky1849,316
3430,F6,F6,9/10/2015,NA,kasky1229,359
3467,F7,F7,9/14/2015,NA,kasky251,371
3522,F9,F9,9/14/2015,NA,kasky276,360
